,Injury.Severity
1042,Non-Fatal
1043,Non-Fatal
1044,Non-Fatal
1045,Non-Fatal
1046,Non-Fatal
1047,Non-Fatal
1048,Non-Fatal
1049,Non-Fatal
1050,Non-Fatal
1051,Non-Fatal
1052,Non-Fatal
1053,Fatal(1)
1054,Non-Fatal
1055,Non-Fatal
1056,Fatal(2)
1057,Fatal(1)
1058,Fatal(2)
1059,Non-Fatal
1060,Non-Fatal
1061,Non-Fatal
1062,Non-Fatal
1063,Non-Fatal
1064,Non-Fatal
1065,Non-Fatal
1066,Non-Fatal
1067,Non-Fatal
1068,Non-Fatal
1069,Fatal(1)
1070,Non-Fatal
1071,Non-Fatal
1072,Non-Fatal
1073,Non-Fatal
1074,Non-Fatal
1075,Non-Fatal
1076,Non-Fatal
1077,Fatal(2)
1078,Incident
1079,Non-Fatal
1080,Non-Fatal
1081,Non-Fatal
1082,Non-Fatal
1083,Non-Fatal
1084,Non-Fatal
1085,Non-Fatal
1086,Fatal(1)
1087,Fatal(7)
1088,Non-Fatal
1089,Fatal(1)
1090,Non-Fatal
1091,Non-Fatal
1092,Non-Fatal
1093,Fatal(4)
1094,Non-Fatal
1095,Non-Fatal
1096,Non-Fatal
1097,Non-Fatal
1098,Non-Fatal
1099,Non-Fatal
1100,Fatal(2)
1101,Non-Fatal
1102,Non-Fatal
1103,Non-Fatal
1104,Non-Fatal
1105,Non-Fatal
1106,Non-Fatal
1107,Non-Fatal
1108,Non-Fatal
1109,Non-Fatal
1110,Non-Fatal
1111,Fatal(4)
1112,Non-Fatal
1113,Fatal(3)
1114,Fatal(1)
1115,Fatal(1)
1116,Non-Fatal
1117,Fatal(1)
1118,Non-Fatal
1119,Fatal(1)
1120,Non-Fatal
1121,Non-Fatal
1122,Non-Fatal
1123,Non-Fatal
1124,Non-Fatal
1125,Non-Fatal
1126,Non-Fatal
1127,Non-Fatal
1128,Non-Fatal
1129,Fatal(2)
1130,Fatal(3)
1131,Fatal(2)
1132,Fatal(2)
1133,Non-Fatal
1134,Non-Fatal
1135,Non-Fatal
1136,Non-Fatal
1137,Non-Fatal
1138,Non-Fatal
1139,Non-Fatal
1140,Non-Fatal
1141,Fatal(1)
1142,Non-Fatal
1143,Non-Fatal
1144,Non-Fatal
1145,Non-Fatal
1146,Fatal(2)
1147,Fatal(1)
1148,Non-Fatal
1149,Non-Fatal
1150,Non-Fatal
1151,Non-Fatal
1152,Non-Fatal
1153,Fatal(2)
1154,Non-Fatal
1155,Non-Fatal
1156,Non-Fatal
1157,Fatal(3)
1158,Non-Fatal
1159,Non-Fatal
1160,Non-Fatal
1161,Non-Fatal
1162,Fatal(2)
1163,Fatal(4)
1164,Incident
1165,Non-Fatal
1166,Non-Fatal
1167,Non-Fatal
1168,Non-Fatal
1169,Non-Fatal
1170,Fatal(1)
1171,Non-Fatal
1172,Incident
1173,Non-Fatal
1174,Non-Fatal
1175,Non-Fatal
